,Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
361,Neguev,Neguev,b.GEN.013.001,34.875747600000004,30.714086100000003,361,,,
362,Egipto,Egipto,b.GEN.013.001,30.802497999999996,26.820553000000004,362,,,
363,,,b.GEN.013.002,,,363,,,
364,,,b.GEN.013.003,,,364,,,
365,Bet-el,Bet-el,b.GEN.013.003,35.222734,31.9416,365,,,
366,,,b.GEN.013.003,,,366,,,
367,Neguev,Neguev,b.GEN.013.003,34.875747600000004,30.714086100000003,367,,,
368,,,b.GEN.013.004,,,368,,,
369,,,b.GEN.013.005,,,369,,,
370,,,b.GEN.013.006,,,370,,,
371,,,b.GEN.013.007,,,371,,,
372,,,b.GEN.013.008,,,372,,,
373,tierra,tierra,b.GEN.013.009,0.0,-90.0,373,,,
374,,,b.GEN.013.010,,,374,,,
375,,,b.GEN.013.010,,,375,,,
376,Egipto,Egipto,b.GEN.013.010,30.802497999999996,26.820553000000004,376,,,
377,Jordán,Jordán,b.GEN.013.010,36.238414,30.585164000000002,377,,,
378,Zoar,Zoar,b.GEN.013.010,35.47124,31.01347,378,,,
379,Jordán,Jordán,b.GEN.013.011,36.238414,30.585164000000002,379,,,
380,Canaán,Canaán,b.GEN.013.012,35.289528,32.055556,380,,,
381,,,b.GEN.013.012,,,381,,,
382,,,b.GEN.013.012,,,382,,,
383,,,b.GEN.013.013,,,383,,,
384,,,b.GEN.013.014,,,384,,,
385,Canaán,Canaán,b.GEN.013.015,35.289528,32.055556,385,,,
386,tierra,tierra,b.GEN.013.016,0.0,-90.0,386,,,
387,Canaán,Canaán,b.GEN.013.017,35.289528,32.055556,387,,,
388,Hebrón,Hebrón,b.GEN.013.018,35.099826,31.532569,388,,,
389,,,b.GEN.014.001,,,389,,,
390,,,b.GEN.014.001,,,390,,,
391,Elam,Elam,b.GEN.014.001,50.804034,29.654781,391,,,
392,,,b.GEN.014.001,,,392,,,
393,,,b.GEN.014.002,,,393,,,
394,,,b.GEN.014.002,,,394,,,
395,,,b.GEN.014.002,,,395,,,
396,,,b.GEN.014.002,,,396,,,
397,Zoar,Zoar,b.GEN.014.002,35.47124,31.01347,397,,,
398,,,b.GEN.014.002,,,398,,,
399,,,b.GEN.014.003,,,399,,,
400,,,b.GEN.014.004,,,400,,,
401,,,b.GEN.014.005,,,401,,,
402,,,b.GEN.014.005,,,402,,,
403,,,b.GEN.014.005,,,403,,,
404,Seir,Seir,b.GEN.014.006,35.316588,30.185172,404,,,
405,,,b.GEN.014.006,,,405,,,
406,Cades,Cades,b.GEN.014.007,34.43751,34.43751,406,,,
407,,,b.GEN.014.007,,,407,,,
408,,,b.GEN.014.008,,,408,,,
409,,,b.GEN.014.008,,,409,,,
410,,,b.GEN.014.008,,,410,,,
411,,,b.GEN.014.008,,,411,,,
412,Zoar,Zoar,b.GEN.014.008,35.47124,31.01347,412,,,
413,,,b.GEN.014.008,,,413,,,
414,,,b.GEN.014.008,,,414,,,
415,,,b.GEN.014.009,,,415,,,
416,,,b.GEN.014.009,,,416,,,
417,Elam,Elam,b.GEN.014.009,50.804034,29.654781,417,,,
418,,,b.GEN.014.009,,,418,,,
419,,,b.GEN.014.010,,,419,,,
420,,,b.GEN.014.010,,,420,,,
421,,,b.GEN.014.010,,,421,,,
422,,,b.GEN.014.011,,,422,,,
423,,,b.GEN.014.011,,,423,,,
424,,,b.GEN.014.012,,,424,,,
425,,,b.GEN.014.013,,,425,,,
426,Dan,Dan,b.GEN.014.014,34.79275,31.913148,426,,,
427,,,b.GEN.014.015,,,427,,,
428,Damasco,Damasco,b.GEN.014.015,36.2765279,33.5138073,428,,,
429,,,b.GEN.014.016,,,429,,,
430,,,b.GEN.014.017,,,430,,,
431,,,b.GEN.014.017,,,431,,,
432,,,b.GEN.014.018,,,432,,,
433,tierra,tierra,b.GEN.014.019,0.0,-90.0,433,,,
434,,,b.GEN.014.020,,,434,,,
435,,,b.GEN.014.021,,,435,,,
436,tierra,tierra,b.GEN.014.022,0.0,-90.0,436,,,
437,,,b.GEN.014.022,,,437,,,
438,,,b.GEN.014.023,,,438,,,
439,,,b.GEN.014.024,,,439,,,
440,,,b.GEN.015.001,,,440,,,
441,,,b.GEN.015.002,,,441,,,
442,,,b.GEN.015.003,,,442,,,
443,,,b.GEN.015.004,,,443,,,
444,,,b.GEN.015.005,,,444,,,
445,,,b.GEN.015.006,,,445,,,
446,Canaán,Canaán,b.GEN.015.007,35.289528,32.055556,446,,,
447,Ur,Ur,b.GEN.015.007,46.10444,30.96222,447,,,
448,,,b.GEN.015.008,,,448,,,
449,,,b.GEN.015.009,,,449,,,
450,,,b.GEN.015.010,,,450,,,
451,,,b.GEN.015.011,,,451,,,
452,,,b.GEN.015.012,,,452,,,
453,tierra,tierra,b.GEN.015.013,0.0,-90.0,453,,,
454,,,b.GEN.015.014,,,454,,,
455,,,b.GEN.015.015,,,455,,,
456,,,b.GEN.015.016,,,456,,,
457,,,b.GEN.015.017,,,457,,,
458,Éufrates,Éufrates,b.GEN.015.018,42.6289045,35.276495700000005,458,,,
459,Canaán,Canaán,b.GEN.015.018,35.289528,32.055556,459,,,
460,Egipto,Egipto,b.GEN.015.018,30.802497999999996,26.820553000000004,460,,,
461,Nilo,Nilo,b.GEN.015.018,31.1038071,29.4691968,461,,,
462,Canaán,Canaán,b.GEN.015.019,35.289528,32.055556,462,,,
463,Canaán,Canaán,b.GEN.015.020,35.289528,32.055556,463,,,
464,Canaán,Canaán,b.GEN.015.021,35.289528,32.055556,464,,,
465,,,b.GEN.016.001,,,465,,,
466,,,b.GEN.016.002,,,466,,,
467,Canaán,Canaán,b.GEN.016.003,35.289528,32.055556,467,,,
468,,,b.GEN.016.004,,,468,,,
469,,,b.GEN.016.005,,,469,,,
470,,,b.GEN.016.006,,,470,,,
471,,,b.GEN.016.007,,,471,,,
472,,,b.GEN.016.008,,,472,,,
473,,,b.GEN.016.009,,,473,,,
474,,,b.GEN.016.010,,,474,,,
475,,,b.GEN.016.011,,,475,,,
476,,,b.GEN.016.012,,,476,,,
477,,,b.GEN.016.013,,,477,,,
478,Cades,Cades,b.GEN.016.014,34.43751,34.43751,478,,,
479,,,b.GEN.016.014,,,479,,,
480,,,b.GEN.016.015,,,480,,,
481,,,b.GEN.016.016,,,481,,,
482,,,b.GEN.017.001,,,482,,,
483,,,b.GEN.017.002,,,483,,,
484,,,b.GEN.017.003,,,484,,,
485,,,b.GEN.017.004,,,485,,,
486,,,b.GEN.017.005,,,486,,,
487,,,b.GEN.017.006,,,487,,,
488,,,b.GEN.017.007,,,488,,,
489,Canaán,Canaán,b.GEN.017.008,35.289528,32.055556,489,,,
490,,,b.GEN.017.009,,,490,,,
491,,,b.GEN.017.010,,,491,,,
492,,,b.GEN.017.011,,,492,,,
493,,,b.GEN.017.012,,,493,,,
494,,,b.GEN.017.013,,,494,,,
495,,,b.GEN.017.014,,,495,,,
496,,,b.GEN.017.015,,,496,,,
497,,,b.GEN.017.016,,,497,,,
498,,,b.GEN.017.017,,,498,,,
499,,,b.GEN.017.018,,,499,,,
500,,,b.GEN.017.019,,,500,,,
501,,,b.GEN.017.020,,,501,,,
502,,,b.GEN.017.021,,,502,,,
503,,,b.GEN.017.022,,,503,,,
504,,,b.GEN.017.023,,,504,,,
505,,,b.GEN.017.024,,,505,,,
506,,,b.GEN.017.025,,,506,,,
507,,,b.GEN.017.026,,,507,,,
508,,,b.GEN.017.027,,,508,,,
509,,,b.GEN.018.001,,,509,,,
