	weight	source	target
2490	2	#per208	#per219
655	2	#389	#per293
79	2	#pla120	#pla17
1331	2	#per285	#pla117
1681	2	#org4	#per170
649	2	#per143	#per3
178	2	#per214	#pla84
1685	2	#389	#per321
179	2	#per131	#per173
641	2	#per262	#pla119
492	2	#per153	#per4
637	2	#org0	#per241
635	2	#per267	#pla5
1704	2	#per124	#per128
634	2	#per191	#per395
2470	2	#org83	#pla115
1635	2	#org4	#per136
819	2	#per314	#per87
1701	2	#424	#per293
1425	2	#429	#per277
1413	2	#per180	#per252
727	2	#per2	#pla18
2513	2	#per149	#per153
721	2	#per	#per380
1572	2	#per158	#per315
2590	2	#pla103	#pla120
833	2	#per175	#per387
1576	2	#per128	#per133
732	2	#per183	#per198
132	2	#org86	#per2
1553	2	#per135	#per5
1404	2	#org63	#per124
1529	2	#per208	#per222
1532	2	#org49	#per14
2528	2	#per	#per387
144	2	#per14	#pla107
742	2	#pla18	#pla41
2526	2	#org80	#per170
1539	2	#org92	#per104
741	2	#429	#per334
2585	2	#per233	#pere314
739	2	#per175	#per277
139	2	#per315	#per324
2586	2	#442	#per334
1546	2	#pla118	#pla97
1550	2	#per160	#per211
101	2	#per175	#per380
1403	2	#per140	#per175
875	2	#per197	#per258
830	2	#per205	#pla
1411	2	#per351	#per428
1561	2	#per144	#per314
805	2	#org71	#pla125
1519	2	#per162	#per428
773	2	#per202	#per254
1560	2	#per366	#pla16
1490	2	#pla110	#pla111
797	2	#org64	#pla84
2561	2	#per6	#pla145
1464	2	#per329	#pla17
798	2	#per5	#pla15
1449	2	#per162	#per333
1447	2	#per191	#pla124
804	2	#per149	#per3
1477	2	#org63	#per14
781	2	#per180	#per254
799	2	#org43	#per4
779	2	#per124	#per127
2511	2	#per191	#pla119
117	2	#389	#per
1559	2	#per87	#pere314
1401	2	#per	#per277
747	2	#per168	#per177
1419	2	#389	#per218
1400	2	#pla115	#pla134
105	2	#per131	#per216
1442	2	#424	#per334
1483	2	#per211	#pla84
124	2	#per330	#pere314
994	1	#per300	#per412
21	1	#per328	#per364
878	1	#per14	#pla98
993	1	#org70	#per195
67	1	#org	#per279
989	1	#org22	#org88
16	1	#per368	#per435
892	1	#per250	#per395
982	1	#org43	#per225
983	1	#per314	#per351
893	1	#per2	#per404
984	1	#per132	#pla84
891	1	#per215	#per433
987	1	#per358	#per424
18	1	#per3	#pla98
985	1	#per154	#pla41
890	1	#per341	#per342
74	1	#per277	#per350
921	1	#per175	#per389
877	1	#per122	#per132
311	1	#per173	#per344
467	1	#per187	#pla
466	1	#per428	#per87
244	1	#org63	#org65
66	1	#per284	#per301
465	1	#org71	#per160
464	1	#per136	#pla101
234	1	#org88	#per153
107	1	#org39	#per185
882	1	#per120	#per332
73	1	#per215	#per418
68	1	#per300	#per322
70	1	#per210	#per261
19	1	#per131	#per208
990	1	#per160	#pla84
992	1	#per317	#per342
880	1	#per109	#pla136
20	1	#pla41	#pla94
879	1	#per242	#per253
889	1	#per195	#per201
858	1	#org77	#per14
888	1	#per104	#per181
