	weight	source	target
1509	2	#org29	#org7
1511	2	#org24	#pla3
947	2	#org0	#org4
1245	2	#pla171	#pla190
473	2	#org13	#pla209
1224	2	#org29	#pla78
471	2	#org70	#pla84
969	2	#org24	#per10
629	2	#pla30	#pla63
798	2	#org8	#per481
795	2	#org13	#per10
457	2	#org110	#per525
1325	2	#per504	#per553
979	2	#org37	#per28
793	2	#per14	#pla8
1238	2	#org37	#pla192
635	2	#org13	#per489
637	2	#per546	#pla200
1495	2	#per112	#pla174
1377	2	#org100	#org22
907	2	#org17	#per14
464	2	#per17	#per480
829	2	#org4	#org5
764	2	#org27	#pla3
1127	2	#org8	#pla41
1126	2	#org5	#pla18
1401	2	#org4	#per26
1369	2	#per527	#pla192
514	2	#per10	#per504
1426	2	#per504	#per561
1469	2	#org16	#per17
1340	2	#per504	#pla191
1193	2	#org4	#pla176
663	2	#org0	#pla63
494	2	#org88	#per14
493	2	#per484	#per485
490	2	#org12	#per18
1033	2	#per529	#pla200
655	2	#per17	#per20
1371	2	#per504	#per528
1459	2	#per112	#pla78
568	2	#org78	#per2
773	2	#pla200	#pla63
653	2	#per543	#pla63
643	2	#org4	#pla3
1378	2	#org110	#org8
780	2	#per0	#pla30
1344	2	#pla171	#pla3
1191	2	#org3	#per512
1345	2	#per527	#pla63
506	2	#per512	#pla2
1186	2	#org37	#wor1
480	2	#per23	#per25
739	2	#org13	#per526
1370	2	#per1	#pla30
1078	2	#org102	#per504
1137	2	#per17	#per18
1087	2	#org13	#per561
1003	2	#per26	#pla159
1138	2	#org37	#org70
678	2	#org104	#per1
717	2	#per14	#pla176
1408	2	#org4	#pla159
719	2	#per112	#per133
1162	2	#per17	#pla18
1165	2	#org37	#pla190
1409	2	#per39	#pla30
1356	2	#per14	#pla78
513	2	#per489	#pla171
1355	2	#org25	#per14
1354	2	#org100	#pla4
1182	2	#per558	#per563
685	2	#per527	#pla199
1080	2	#pla3	#pla62
544	2	#per17	#pla2
1156	2	#pla14	#pla173
516	2	#org22	#per2
1144	2	#per21	#per26
1150	2	#per558	#wor1
1381	2	#org0	#per23
1152	2	#org22	#per26
542	2	#per14	#pla2
1125	2	#org13	#per26
708	2	#org100	#org70
709	2	#org5	#org70
1114	2	#per504	#pla173
1423	2	#org0	#org110
50	1	#per512	#pla7
58	1	#org13	#per534
797	1	#per526	#pla206
52	1	#org13	#pla184
55	1	#per527	#per546
799	1	#per492	#pla171
794	1	#per17	#pla8
57	1	#org115	#org25
790	1	#per512	#pla41
86	1	#per504	#pla153
59	1	#org545	#org546
60	1	#org22	#per507
51	1	#per528	#pla61
40	1	#per517	#pla171
87	1	#per489	#pla73
104	1	#org5	#pla176
107	1	#org18	#wor6
786	1	#per553	#pla2
106	1	#per21	#wor1
800	1	#org111	#per1
78	1	#per532	#pla14
45	1	#per17	#pla183
801	1	#org0	#per564
67	1	#per104	#per14
755	1	#per566	#pla566
784	1	#org11o	#per21
63	1	#per517	#per518
68	1	#per17	#per492
70	1	#per506	#pla3
79	1	#per23	#per30
782	1	#org103	#org29
80	1	#org0	#per18
82	1	#pla159	#pla176
85	1	#org2	#per564
69	1	#pla18	#tim1
