	GEN	EXO	LEV	NUM	DEU	JOS	JDG	RUT	1SA	2SA	1KI	2KI	EZR	NEH	EST	JOB	PSA	PRO	ECC	ISA	JER	LAM	EZE	DAN	HOS	JOE	AMO	OBA	JON	MIC	NAH	HAB	ZEP	HAG	ZEC	MAL	MAT	MAR	JOH	ACT	ROM	1CO	2CO	GAL	EPH	PHI	COL	1TH	2TH	1TI	2TI	TIT	PHM	HEB	JAM	1PE	2PE	1JO	2JO	3JO	JUD	REV
#per500		29.21665,33.41353	30.77721,34.1407	30.49904,33.93905		30.82034,34.31206	31.78981,35.1649		29.43805,33.04601					33.18667,35.61917			31.04605,34.85161													26.82055,30.8025										26.82055,30.8025																						
#per501			32.11636,35.23539								31.76832,35.21371																													32.54178,44.43164																						
#per502																																								32.54178,44.43164																						
#per503		29.5,34.0		31.06204,35.34913	31.04605,34.85161	31.50702,34.87111	31.04605,34.85161		31.86118,34.9281		31.90135,35.34225	31.64347,35.07168		31.04605,34.85161																										32.05556,35.28953																						
#per504																																								35.26078,30.0291		37.94842,27.36806	39.77364,22.33876		37.94842,27.36806	31.04605,34.85161																
#per505																																								32.42288,35.30272																						
#per506																																								31.76832,35.21371																						
#per507																																								33.31118,35.30927																						
#per508																																								36.91656,34.89521																						
#per509																																																														
#per510																																																														
#per511																																																														
#per512																																								32.12361,35.17535																						
